# M    H9.0    H11.0    H13.0    H15.0    H17.0    H19.0    H21.0
-8.000000000000000444e-01 9.378415458499465009e-09 6.555248260227310748e-08 1.091925444281973405e-07 2.234159316530919242e-07 5.306399182773792682e-07 8.878174507904913006e-09 7.265592538943924114e-09
-5.999999999999999778e-01 2.373832094391470714e-09 1.897051522778632779e-09 2.126817446219460260e-09 1.881037006264584359e-09 1.690887121600195259e-08 3.742348165955555115e-10 2.723639501797790168e-10
-4.000000000000000222e-01 5.154274589241330003e-09 7.443055786520097435e-11 3.243462986358470082e-10 8.210181894565661458e-11 9.759646126255370972e-10 8.408318527294216830e-11 1.119654307577548145e-10
-2.000000000000000111e-01 3.507803573467015047e-10 2.840577822427694028e-12 6.939271577042907786e-12 2.546612771060589104e-11 3.691368991366586425e-10 2.989142784786681910e-11 2.717277537133453513e-11
0.000000000000000000e+00 3.513322182644831235e-09 5.111041519009803710e-10 1.946983252173081466e-10 1.090600829906397910e-10 4.546370218561012758e-10 1.051065031652749808e-10 1.757650725631338234e-12
2.000000000000000111e-01 7.754290172280597666e-08 2.169857185462660442e-08 2.785937175276278331e-08 2.782014451557933642e-08 1.684997136048652462e-08 4.405816954353664409e-09 2.521533439874078500e-10
4.000000000000000222e-01 7.845305127511585609e-07 1.670867948049159675e-07 1.477240541293364424e-07 1.321309447651941483e-07 3.931970000631856903e-08 1.138385978471433710e-08 1.420460623134583297e-09
5.999999999999999778e-01 8.324644601698909963e-07 4.486321196921285131e-08 4.147530299695154012e-07 3.764356089733695565e-07 5.940120851586533502e-07 7.481497422419889780e-08 1.378414679638334677e-09
8.000000000000000444e-01 2.045104442750401240e-06 9.640340573513661908e-09 1.740639028147444318e-06 3.497828179169104133e-07 4.746938035205179584e-06 1.097781230791125585e-06 1.206278877901310741e-07
1.000000000000000000e+00 2.363473418358753974e-08 2.909983880944051133e-09 2.053156100322590894e-08 1.313987403075864332e-08 6.853297508949086816e-08 9.426347402735073421e-08 3.735856499027079347e-09
1.199999999999999956e+00 1.332807782179523418e-09 4.598180668773836417e-11 2.406862000952962023e-09 2.080728503579333965e-10 5.709501326732435691e-10 2.189718611209486922e-09 1.435690684810932861e-09
1.399999999999999911e+00 3.235152869153693012e-09 9.237647797817097935e-11 1.177128559070709156e-09 2.166352771187768369e-11 9.294464201104114422e-12 7.834974628489768709e-12 1.013898967462544601e-10
1.600000000000000089e+00 8.163366479661368534e-09 1.268416432168877874e-10 1.194040214889442524e-09 9.504824437206356963e-12 9.559276181930697804e-11 6.408604781298995214e-12 3.514673193806618285e-12
1.800000000000000044e+00 3.705189338714230682e-08 7.720920623196248966e-10 3.244359807000214138e-09 1.361982691066129904e-10 1.315165819289050371e-09 2.813129283073769223e-10 6.837846513555865077e-10
2.000000000000000000e+00 1.191272714198550536e-08 1.698305007132535448e-10 4.702651838768039399e-10 1.435403409521002802e-11 2.299053757290134120e-10 1.821938104437457655e-11 3.294229453242993890e-10
2.200000000000000178e+00 5.087463582129204825e-10 6.115676132339762430e-12 1.284963948503253343e-11 1.768838411347282625e-13 1.160838793412092721e-12 2.622894018537722041e-14 4.961811641851314722e-13
2.399999999999999911e+00 9.471893233032470408e-11 7.130316712697623844e-13 1.681428531655622428e-12 9.113545341634121422e-15 3.834394751444702492e-14 9.629272057467965839e-17 2.610895869280903822e-16
2.600000000000000089e+00 5.777994311239525548e-12 1.408051890020789167e-13 9.960356212491875177e-14 3.925389095888017405e-15 7.109119858949742010e-15 1.285176788153605363e-17 1.563330803840401248e-16
2.799999999999999822e+00 8.846065214011077682e-14 2.395517174247106694e-14 1.404894045551988752e-15 2.594684669156716307e-16 3.094469287071142081e-16 2.399254407366538605e-18 3.629833375768113454e-18
3.000000000000000000e+00 1.869418268994286192e-15 2.568673809948505321e-16 6.583428524978554786e-18 1.244704280624565661e-17 3.734752999606734525e-18 3.469186707171959832e-19 1.669177497744753899e-19
